# Monday, Tuesday, Thursday, Friday
1,Pre-1st,0715,0740
1,1,0745,0835
1,Passing 1-2,0835,0840
1,2,0840,0930
1,Passing 2-3,0930,0935
1,3,0935,1025
1,Passing 3-4,1025,1030
1,4,1030,1120
1,Passing 4-5,1120,1125
1,5,1125,1240
1,A,1120,1150
1,B,1145,1215
1,C,1215,1245
1,Passing 5-6,1240,1245
1,6,1245,1335
1,Passing 6-7,1335,1340
1,7,1340,1430

# Wednesday (Ranger Connect)
3,Pre-1st,0715,0740
3,1,0745,0830
3,Passing 1-2,0830,0835
3,2,0835,0925
3,Passing 2-3,0925,0930
3,3,0930,1015
3,Passing 3-4,1015,1020
3,4,1020,1105
3,Passing 4-RC,1105,1110
3,RC,1110,1135
3,Passing RC-5,1135,1140
3,5,1140,1250
3,A,1135,1205
3,B,1200,1230
3,C,1225,1255
3,Passing 5-6,1250,1255
3,6,1255,1340
3,Passing 6-7,1340,1345
3,7,1345,1430
